ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Alens: Zone of Slence,2017,2017,TVMA,79 mn,Horror, Mystery, ScF,"['Andy Fowler', '| ', '    Stars:', 'Sarah Hester, ', 'Peter Gesswen, ', 'Jed Maheu, ', 'Vnce Tula']",577,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,7.2
Lous C.K. 2017,2017,2017,TVMA,74 mn,Comedy,,,"['Lous C.K.', '| ', '    Stars:', 'Lous C.K., ', 'Joe Lst']","10,306",Shane Bitney Crone's plans to marry Tom Bridegroom in California after the samesex marriage law is passed takes a tragic turn when his partner of six years accidentally dies and Tom's family refuses Shane from attending the funeral.,8
Paranod,2000,2000,Not Rated,93 mn,Crme, Horror, Thrller,"['John Dugan', '| ', '    Stars:', 'Jessca Alba, ', 'an Glen, ', 'Jeanne Trpplehorn, ', 'Ewen Bremner']","2,334",,
De gelukkge husvrouw,2010,2010,,100 mn,Comedy, Drama, Romance,"['Antonette Beumer', '| ', '    Stars:', 'Carce van Houten, ', 'Marcel Hensema, ', 'Jaap Spjkers, ', 'ss Cabolet']","2,887",Kkondae Intern is an office comedy that depicts a man's delightful revenge on his previous boss who is also the worst manager.,7.2
Maska,2020,2020,,111 mn,Comedy, Drama, Romance,"['Neeraj Udhwan', '| ', '    Stars:', 'Prt Kaman, ', 'Mansha Korala, ', 'Shrley Seta, ', 'Jaaved Jaafer']","1,466",The harddriving trucking adventures of a dog driver and his ferret mechanic sidekick.,7.7
Monty Python's Flegender Zrkus,1972,1972,TVMA,87 mn,Comedy,,,"['Graham Chapman, ', 'John Cleese, ', 'Erc dle, ', 'Terry Jones']","2,165","Mamet obeyed Milly's request to stop working at a banker bank to raise their children, to work in his inlaws factory to meet Alexandra who again invited her to become a chef at the restaurant of her second dream while in college.",7.4
Doll House,2022,2022,,107 mn,Drama,,,"['Marla Ancheta', '| ', '    Stars:', 'Mary Joy Apostol, ', 'Katreena Beron, ', 'Rcardo Cepeda, ', 'Baron Gesler']",,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent fourpart special.,7.3
Hero Mask,2018,20182019,TV14,25 mn,Anmaton, Acton, Crme,"['Greg Chun, ', 'Landon McDonald, ', 'Cam Clarke, ', 'Brad Venable']",692,"After getting fired from his current job as a pilot and dumped by his wife, he seeks to find a new job. Out of desperation on the job market he disguises himself as a woman in order to get ...                See full summary »",5.8
Le Coup de Foudre,2019,2019,,45 mn,Comedy, Romance,,"['Zhwe Zhao, ', 'Qngyu Yan, ', 'L Ma, ', 'Yutong Xe']",287,Embark on a delightful journey through the culinary traditions of China and uncover the stories of the people who create and cherish its dishes.,7.7
Dügün Dernek 2: Sünnet,2015,2015,,112 mn,Comedy,,,"['Selçuk Aydemr', '| ', '    Stars:', 'Ahmet Kural, ', 'Murat Cemcr, ', 'Rasm Öztekn, ', 'Devrm Yakut']","10,507","Hotaru and her manager Seiichi work together, by coincidence live together and soon fall for each other. In the way though is two seasons of drama, romance, propriety, overseas assignments and friends and colleagues.",7.5
Nerdland,2016,2016,Not Rated,85 mn,Anmaton, Comedy,,"['Chrs Prynosk', '| ', '    Stars:', 'Paul Rudd, ', 'Patton Oswalt, ', 'Hannbal Buress, ', 'Kate Mcucc']","1,086","When accused of a murder eerily parallel to a plot in his novel, a bestselling crime writer must navigate a web of hidden enemies.",6.6
Danel Sloss: Lve Shows,2018,2018,TVMA,118 mn,Comedy,,,['Danel Sloss'],"3,569","Get ready to love your veggies! The beloved faithbased brand has a fresh new look as Bob the Tomato, Larry the Cucumber and all their Veggie friends venture off the countertop for the ...                See full summary »",4
"Drty John, The Drty Truth",2019,2019,,88 mn,Documentary, Crme,,"['Sara Mast', '| ', '    Stars:', 'Debra Newell, ', 'Chrstopher Goffard, ', 'Terra Newell, ', 'Joe Loeffler']","1,892","A deep historical look at one of the most controversial issues of our time, highlighting the abortion debate from various points along the ideological spectrum in a winding story of abortion in America.",7.5
All That Matters s Past,2012,2012,,105 mn,Drama,,,"['Sara Johnsen', '| ', '    Stars:', 'Mara Bonneve, ', 'nga Berger Schou, ', 'Tea Sandanger, ', 'Lne Blla Ljøstad']",767,,
Tny Creatures,2020,2020,TVPG,,Documentary, Short, Drama,"['Mke Colter, ', 'Lous LabromBrown, ', 'Robert Jensen, ', 'Jamla Wngett']","1,263","Zoey is excited to tackle second grade, but when danger beckons, she sneaks away and with her signature call out and transforms into StarBeam, the speediest, most powerful and most enthusiastic superhero to ever sip from a juicebox.",7.2
Chrstna P.: Mom Genes,2022,2022,TVMA,62 mn,Documentary, Comedy,,"['Ryan Polto', '| ', '    Star:', 'Chrstna Pazstzky']",675,,
Mss Representaton,2011,2011,Not Rated,85 mn,Documentary,,,"['Jennfer Sebel Newsom, ', 'Joslyn Rose Lyons', '| ', '    Stars:', 'Jennfer Sebel Newsom, ', 'Jean Klbourne, ', 'Jm Steyer, ', 'Kate Courc']","3,769",,
Al Wong: Baby Cobra,2016,2016,TVMA,60 mn,Comedy,,,"['Jay Karas', '| ', '    Star:', 'Al Wong']","7,129","The story of Nicholas Sand and Tim Scully, the unlikely duo at the heart of 1960s American drug counterculture.",7
DMT: The Sprt Molecule,2010,2010,Not Rated,75 mn,Documentary,,,"['Mtch Schultz', '| ', '    Stars:', 'Joe Rogan, ', 'Ralph Abraham, ', 'Joel Bakst, ', 'Steven Barker']","4,730","After getting beaten up and insulted by the town bully, a softhearted simpleton Mahesh vows to be barefoot until he gets his revenge.",7.7
Son,2012,20122013,,90 mn,Adventure, Drama, Mystery,"['Ygt Özsener, ', 'Nehr Erdogan, ', 'Engn Altan Düzyatan, ', 'Berrak Tüzünataç']",859,"Carla Hall, Niklas Ekstedt and Heston Blumenthal will judge as three cooks will battle it out to create the best feast.The set will be entirely edible and will contain edible blossom, chocolate soil, and a drinkable babbling brook.",6.7
Daddy ssues,2018,2018,,81 mn,Drama, Romance,,"['Amara Cash', '| ', '    Stars:', 'Madson Lawlor, ', 'Montana Mannng, ', 'Andrew Pfko, ', 'Kamala Jones']",762,Black Ink Crew: Black Ink documents the tattoo artists at a Harlem tattoo shop and all of the celebrities they cater to.,4.8
Beyond the Unverse,2022,2022,,126 mn,Comedy, Drama, Romance,"['Dego Fretas', '| ', '    Stars:', 'Henrque Zaga, ', 'João Mguel, ', 'Dense Del Veccho, ', 'Othon Bastos']",,Four friends whose lives changed forever with the arrival of a ton of cocaine.,
nsders,2021,2021,TVMA,,RealtyTV,,,"['Najwa Nmr, ', 'Alyson Legh Rosenfeld, ', 'Ryan BauerWalsh, ', 'Hed Nedermeyer']",767,"When a young man becomes possessed after playing a Ouija game,a ghost hunter investigates the evil spirit dwelling within him.",3.7
The Surrogate,2013,2013,TV14,90 mn,Drama, Mystery, Thrller,"['Doug Campbell', '| ', '    Stars:', 'Cameron Mathson, ', 'Anne Werschng, ', 'Amy Scott, ', 'Matthew Alan']",617,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behindthescenes rainmaker in music, film, TV and politics.",7.5
Rudy Habbe,2016,2016,TV14,124 mn,Bography, Drama, Romance,"['Hanung Bramantyo', '| ', '    Stars:', 'Reza Rahadan, ', 'Chelsea slan, ', 'Ernest Prakasa, ', 'ndah Permatasar']",852,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",6.9
Ready to Mngle,2019,2019,TVMA,95 mn,Comedy,,,"['Lus Javer Henane', '| ', '    Stars:', 'Cassandra Cangherott, ', 'Gabrela de la Garza, ', 'rán Castllo, ', 'Sophe AlexanderKatz']","2,399",A writer of lewd stories tries to keep his work a secret from his innocent and unknowing daughter.,7.4
Comng Out Colton,2021,2021,TVMA,,RealtyTV,,,"['Colton Underwood, ', 'Gus Kenworthy, ', 'Esera Tuaolo, ', 'Shelby Harrs']","1,178",,
The Boss Baby: Get That Baby!,2020,2020,TVY7,24 mn,Anmaton, Short, Adventure,"['Dan Forgone, ', 'Pete Jacobs, ', 'Matt Whtlock', '| ', '    Stars:', 'Flula Borg, ', 'Alex Cazares, ', 'Rhys Darby, ', 'Perce Gagnon']",368,,
Just Another Chrstmas,2020,2020,,100 mn,Comedy, Drama,,"['Roberto Santucc', '| ', '    Stars:', 'Aranne Botelho, ', 'Kevn Andrew Rvera, ', 'Neto Cajado, ', 'Louse Cardoso']","4,558","Series follows renowned Oakland dog trainer, Jas Leverette, as he runs one of the top dog training facilities in California.",6.6
WorldEnd: What Do You Do at the End of the World? Are You Busy? Wll You Save Us?,2017,2017,TV14,24 mn,Anmaton, Drama, Fantasy,"['Ryôhe Ara, ', 'Azusa Tadokoro, ', 'Amber Lee Connors, ', 'Alexs Tpton']",789,On a quest to find a new home young Pluk in his little red crane wagon end up in the Petteflet. He moves in to a little deserted tower room and quickly befriends some of the inhabitants and...                See full summary »,6.1
Smokng,2018,2018,,,Crme,,,"['Ryo shbash, ', 'Ryûhe Matsuda, ', 'Tomom Maruyama, ', 'Nobuak Kaneko']",470,,
Aleksandr's Prce,2013,2013,Not Rated,108 mn,Drama,,,"['Pau Masó, ', 'Davd Damen', '| ', '    Stars:', 'Pau Masó, ', 'Anatol Grgoradou, ', 'Josh Berresford, ', 'Samantha Glovn']",836,,
Rodeo & Julet,2015,2015,Unrated,88 mn,Drama, Famly, Romance,"['Thadd Turner', '| ', '    Stars:', 'Krsta Allen, ', 'Tm Abell, ', 'Nadne Crocker, ', 'Zeb Halsell']","1,063",Charlie introduces the audience to a colorful cast of characters while taking them on an imaginative journey.,6.6
The Forest of Love: Deep Cut,2020,2020,,40 mn,Crme, Drama, Horror,"['Shnnosuke Mtsushma, ', 'Kppe Shîna, ', 'Er Kamatak, ', 'Kyoko Hnam']",470,,
Bangkok Breakng,2021,2021,TVMA,60 mn,Acton, Crme, Drama,"['Sukollawat Kanarot, ', 'Nophand Boonya, ', 'Sushar Manayng, ', 'Chatcha Patumthp']",307,"A farmer hell bent on a revolution locks horns with a powerful and greedy industrialist, who is responsible for the plight of farmers. Will he be able to grant his people the life they deserve?",3.4
Terrace House: Aloha State,2016,20162017,,40 mn,Drama, RealtyTV,,"['You, ', 'Rena Trendl, ', 'Yoshm Toku, ', 'Azusa Babazono']","1,024","Sabine is looking for the truth behind the disappearance of her best friend twenty years ago. An encounter with Olaf, a handsome man she met in her teenage years, and the announcement of a high school reunion turns her life upside down.",5.5
The Revenge of Robert the Doll,2018,2018,Not Rated,80 mn,Horror,,,"['Andrew Jones', '| ', '    Stars:', 'Lee Bane, ', 'Harret Rees, ', 'Judth Haley, ', 'Elose Juryeff']",775,An epidemiologist tried to satisfy her obsession with food when she was assigned to investigate a bird flu case.,7.1
June and Kop,2021,2021,TVG,90 mn,Comedy, Famly,,"['Novandra Santosa', '| ', '    Stars:', 'Acha Septrasa, ', 'Ryan Delon, ', 'Makayla Rose Hll, ', 'Tj Ruth']",567,Filmmaker Vlad Yudin follows several body builders as they struggle to find success in a competitive industry.,6.1
Deep n the Heart of Texas: Dave Chappelle Lve at Austn Cty Lmts,2017,2017,TVMA,66 mn,Comedy,,,"['Stan Lathan', '| ', '    Stars:', 'Dave Chappelle, ', 'Morgan Freeman']","11,654",A detective hunts for the marksman who foiled the plan to catch a notorious team of bank robbers.,5.7
Rumble n Hong Kong,1973,1973,Not Rated,80 mn,Acton, Crme,,"['Mu Chu', '| ', '    Stars:', 'Charle Chn, ', 'Qu Yuen, ', 'Betty Pe T, ', 'Chn Hu']","1,512","In Wyoming, Sweetwater town sheriff Stan Blaine finds himself in the middle of a range war between greedy cattle barons and newcomer settlers who compete for public lands and unbranded stray cattle.",6.1
 Heart Arlo,2021,2021,TVY7,11 mn,Anmaton, Short, Adventure,"['Mchael J. Woodard, ', 'Mary Lambert, ', 'Brett Gelman, ', 'Jonathan Van Ness']",229,A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.,6.3
The Pll,2011,2011,Not Rated,83 mn,Comedy, Drama, Romance,"['J.C. Khoury', '| ', '    Stars:', 'Noah Bean, ', 'Rachel Boston, ', 'Anna Chlumsky, ', 'Jean Brassard']","3,961","A compassionate divorce lawyer and her callous male coworker find themselves reconsidering their beliefs on love, marriage, ambition and each other as they go headtohead over the coveted position of partner in their legal firm.",6.8
Reset,2022,2022,,45 mn,Drama, ScF, Thrller,"['Tao Lu, ', 'Jngtng Ba, ', 'Jnma Zhao, ', 'Jue Huang']",619,,
Glamour Grls,2022,2022,TVMA,125 mn,Drama,,,"['Bunm Ajakaye', '| ', '    Stars:', 'Robert Adewale, ', 'Llan Afegba, ', 'Shantel Agba, ', 'Chka Agwuke']",157,"Tristan inherits the power of the Goddess Clan and can heal people's wounds and injuries, but he often ends up hurting others due to his inability to control his Demon Clan power. To ...                See full summary »",
ceberg Slm: Portrat of a Pmp,2012,2012,R,89 mn,Documentary, Bography,,"['Jorge Hnojosa', '| ', '    Stars:', 'Betty Beck, ', 'Camlle Beck, ', 'Dane Beck, ', 'Msty Beck']",726,"In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it.",7.5
,,,,,,,,,,Dylan is very successful at running his own lunchroom and YouTube channel. Then IJsbrand comes into his life and copies everything he does. Dylan decides to get to the bottom of this and puts fame and friendship at risk.,4.1
Danur 2: Maddah,2018,2018,,92 mn,Horror,,,"['Aw Suryad', '| ', '    Stars:', 'Prlly Latuconsna, ', 'Sandrnna Mchelle, ', 'Shawn Adran Khulafa, ', 'Sopha Latjuba']",522,"The story follows two different people, Andeng (Bea Alonzo) and Anton (Ian Veneracion), who will prove whether or not two broken hearts can make their love last.",8.8
Mucho Mucho Amor: The Legend of Walter Mercado,2020,2020,TV14,96 mn,Documentary,,,"['Crstna Costantn, ', 'Kareem Tabsch', '| ', '    Stars:', 'Walter Mercado, ', 'Wlly Acosta, ', 'LnManuel Mranda, ', 'Raul de Molna']","3,334",,
StoryBots Super Songs,2016,2016,,,Anmaton, Famly, Muscal,"['Judy Greer, ', 'Ern Ftzgerald, ', 'Fred Tatascore, ', 'Jeff Gll']",175,The events revolve around a special operations officer who deals with more than one terrorist operation and is hunting down terrorist cells. The film shows security forces' efforts to ...                See full summary »,6.3
Snster Squad,2016,2016,Not Rated,90 mn,Acton, Comedy, Fantasy,"['Jeremy M. nman', '| ', '    Stars:', 'Johnny Rey Daz, ', 'Chrstna Lccard, ', 'Lndsay Sawyer, ', 'Tala A Davs']","1,117","As Nigeria prepares for independence from the British in 1960, a seasoned police detective rushes to find the serial killer slaughtering its native young women.",6.4
ncr Reçel,2011,2011,,94 mn,Drama, Romance,,"['Aytaç Agrlar', '| ', '    Stars:', 'Seza Parackoglu, ', 'Melke Güner, ', 'Snan Çalskanoglu, ', 'Barbara Lourens']","13,222","These uncanny tales reveal a world where individuals face the tragic consequences of social pressure, parental oppression and family dysfunction.",7.2
Eromanga Sense,2017,2017,Not Rated,24 mn,Anmaton, Comedy, Drama,"['Yoshtsugu Matsuoka, ', 'Akane Fujta, ', 'Yu shkawa, ', 'Saor Oonsh']","1,406",,
"Abby Hatcher, Fuzzly Catcher",2018,20182022,TVY,23 mn,Anmaton, Adventure, Comedy,"['Macy Droun, ', 'Wyatt Whte, ', 'Chrstan Dal Dosso, ', 'Leo Orgl']",187,Anthropomorphic frogs battle the forces of darkness.,6.8
,,,,,,,,,,"Alia is now working and living at an orphanage, where she meets a girl who also possesses inner eyes like her.",5.4
We Steal Secrets,2013,2013,R,130 mn,Documentary,,,"['Alex Gbney', '| ', '    Stars:', 'Julan Assange, ', 'Adran Lamo, ', ""John 'FuzzFace' McMahon, "", 'Alex Gbney']","7,967",Feminists: What Were They Thinking? takes aim at our current culture revealing all too vividly the urgent need for continued change.,7
,,,,,,,,,,"The dating experiment comes to Brazil as local singles look for true love and get engaged, all without meeting the other person face to face.",6.2
Eagles Over London,1969,1969,PG,100 mn,Acton, Drama, War,"['Enzo G. Castellar', '| ', '    Stars:', 'Frederck Stafford, ', 'Van Johnson, ', 'Francsco Rabal, ', 'Evelyn Stewart']",660,A dirtborn character chooses to join politics over getting a job and punishing rogue politicians with an elite official.,7.2
,,,,,,,,,,An unlikely Christmas romance blossoms between a famous rapper and a tenacious journalist. But can they make it work despite their differences?,5.9
Two Cops,2017,20172018,,,Comedy, Fantasy, Romance,"['Jo JungSuk, ', 'Km SeonHo, ', 'Hyer Lee, ', 'Oh EuSk']",431,"In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals.",7.8
,,,,,,,,,,"Chelsea Handler interviews celebrities, academics, and professionals in her new show on Netflix.",6.1
Rta Moreno: Just a Grl Who Decded to Go for t,2021,2021,PG13,90 mn,Documentary, Bography,,"['Marem Pérez Rera', '| ', '    Stars:', 'Marlon Brando, ', 'Morgan Freeman, ', 'LnManuel Mranda, ', 'Whoop Goldberg']",781,Three women fight to break the cycle one life at a time.,6.8
Dreamland,2016,2016,Not Rated,84 mn,Comedy, Drama, Musc,"['Robert Schwartzman', '| ', '    Stars:', 'Johnny Smmons, ', 'Franke Shaw, ', ""Beverly D'Angelo, "", 'Gnko']",580,"Alexandre Dupré is a con artist, accidentally involved in a hunt for microfilm, containing a valuable invention of a recently murdered French scientist.",5.9
Unnatural Selecton,2019,2019,TVMA,66 mn,Documentary,,,"['Davd shee, ', 'Jeffrey Kahn, ', 'Jackson Kennedy, ', 'Kevn Esvelt']","2,013",Add a Plot,6.3
,,,,,,,,,,Sharpshooting drifter Dempsey Rae comes back to Wyoming to work for beautiful rancher Reed Bowman. But Reed's plan to fence in her land's wide open spaces angers other ranchers and soon embroils Dempsey in a bloody range war.,6.8
Catchng Feelngs,2017,2017,TVMA,124 mn,Comedy, Drama, Romance,"['Kagso Ledga', '| ', '    Stars:', 'Kagso Ledga, ', 'Pearl Thus, ', 'Andrew Buckland, ', 'Akn Omotoso']",562,"Imagine a night in with 4 girls. Now imagine doing that for 4 years. In a building full of girls that is a Girl's Hostel. Live the Dushmani, the Dosti, the Pyaar, the Bhasad.",7.9
Hypersomna,2016,2016,,90 mn,Fantasy, Horror, Mystery,"['Gabrel Greco', '| ', '    Stars:', 'Yamla Saud, ', 'Gerardo Romano, ', 'Jmena Barón, ', 'Vanesa González']","1,289","A man and a woman come across a mysterious diary that foretells them falling in love, though they are complete strangers to each other.",7
Kaal Khuh,2020,2020,TV14,90 mn,Drama, Horror, Mystery,"['Terre Samundra', '| ', '    Stars:', 'Shabana Azm, ', 'Sanjeeda Shekh, ', 'Satyadeep Msra, ', 'Rva Arora']","1,258","After doing time in jail for killing the cop who murdered his father, Joao heads for Brasilia where a distant cousin from Argentina helps him get a start as a carpenter's apprentice  as long as he sidelines as a drug dealer.",6.6
Lfe's a Gltch wth Julen Bam,2021,2021,TVMA,35 mn,Comedy, ScF,,"['Julen Bam, ', 'Joon Km, ', 'Jur Padel, ', 'Madeu Ulbrch']",373,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,6.3
Larceny,2017,2017,,87 mn,Acton, Thrller,,"['R. Ells Frazer', '| ', '    Stars:', 'Dolph Lundgren, ', 'Lous Mandylor, ', 'saac C. Sngleton Jr., ', 'Jocelyn Osoro']","1,064","A girl, a dog and her best pal set out to save a mountain from a goldhungry corporation. But the key lies closer to home, with her sidekick pup, Xico.",5.1
7 Days Out,2018,2018,TVPG,48 mn,Documentary,,,"['Karl Lagerfeld, ', 'Jule Webster, ', 'Matthew Haag, ', 'Emmy']",561,Activist AbdurRahman Muhammad begins his own investigation into the perplexing details surrounding the assassination of civil rights leader Malcolm X.,7.5
The Poltcan's Husband,2013,2013,,180 mn,Drama,,,"['Davd Tennant, ', 'Emly Watson, ', 'Jack Shepherd, ', 'Roger Allam']","1,741",Follows a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.,8.1
The Pact ,2014,2014,Not Rated,96 mn,Horror, Mystery, Thrller,"['Dallas Rchard Hallam, ', 'Patrck Horvath', '| ', '    Stars:', 'Camlla Luddngton, ', 'Amy Petz, ', 'Patrck Fschler, ', 'Caty Lotz']","3,562","Two girls begin to chat about another girl, a former lover of both. As they grow closer, the gap between them widens, as one them is looking for answers and love while safely closeted. A ...                See full summary »",5.8
Defnton Please,2020,2020,,91 mn,Comedy, Drama,,"['Sujata Day', '| ', '    Stars:', 'Katrna Bowden, ', 'LeVar Burton, ', 'Eugene Byrd, ', 'Anna Khaja']",176,A Tale of Legendary Libido.,5.3
Under the Sun,1998,1998,,130 mn,Drama, Romance,,"['Coln Nutley', '| ', '    Stars:', 'Rolf Lassgård, ', 'Helena Bergström, ', 'Johan Wderberg, ', 'Gunlla Röör']","2,736","The journey of two best friends introducing their coffee shop business across Indonesia, facing various challenges that will test their friendship.",7.2
Doctor X,2012,2012,Not Rated,54 mn,Comedy, Drama, Mystery,"['Ryôko Yonekura, ', 'ttoku Kshbe, ', 'Yuk Uchda, ', 'Toshyuk Nshda']",683,,
Mghty Express,2020,2020,TVY,,Anmaton, Adventure, Comedy,"['Tyler James Nathan, ', 'Tyler Nathan, ', 'Mchela Luc, ', 'Nkta Stenert']",120,,
The Slence of the Sky,2016,2016,,102 mn,Drama, Thrller,,"['Marco Dutra', '| ', '    Stars:', 'Leonardo Sbaragla, ', 'Carolna Deckmann, ', 'Chno Darín, ', 'Alvaro Armand Ugon']","2,096","Three gay coworkers at a department store lead double lives as superhero drag queens, fighting crime and other forces like an evil drag queen and a conservative politician.",5.4
Holday Secrets,2019,2019,,,Drama,,,"['Cornna Harfouch, ', 'Chrstane Paul, ', 'Svenja Jung, ', 'Leone Benesch']","1,166","Abel (Daniel Grao) is a politician dedicated to the struggle for the most disadvantaged and Nora (Natalia Molina), his wife, is the unconditional support for him and who keeps an important ...                See full summary »",5
Msson Blue,2014,2014,,95 mn,Documentary, Drama,,"['Robert Nxon, ', 'Fsher Stevens', '| ', '    Stars:', 'Barbara Block, ', 'James Cameron, ', 'Mchael deGruy, ', 'Sylva Earle']","2,007",Anna misses the flight she should have taken to find Greg in Barcelona. The plane crashes.,4.6
La Gran Seduccón,2022,2022,,,Comedy,,,"['Celso R. García', '| ', '    Stars:', 'Yaltza Aparco, ', 'Gullermo Vllegas, ', 'Perre Lous, ', 'Arath Aquno']",,"Welcome to a food extravaganza, a visual poem to Mexico's foodie ingenuity and the quirky and delicious flavors that are worth the stomach aches.",6.3
Autumn,2009,2009,R,110 mn,Horror, ScF, Thrller,"['Steven Rumbelow', '| ', '    Stars:', 'Dexter Fletcher, ', 'Dckon Tolson, ', 'Lana Kamenov, ', 'Anton Brejak']","1,621","After his arrest at age 16, Kalief Browder fought the system and prevailed, despite unthinkable circumstances. He became an American hero.",8.5
My Only One,2018,20182019,,,Comedy, Drama, Romance,"['Yoon Jn Y, ', 'Hyem Na, ', 'SungHoon Park, ', 'Hwayeon Cha']",113,A dejected smalltown music teacher grapples with guilt and regret when his expupil who once loved him returns home as the star he always wanted to be.,6.2
Ronny Cheng: Speakeasy,2022,2022,,60 mn,Documentary, Comedy,,"['Sebastan DNatale', '| ', '    Star:', 'Ronny Cheng']","1,249","A bird’s eye view into the daytoday life of the Hampton’s youngest and most exclusive group of real estate agents, documenting their private lives and posh coastline listings.",4.2
Pggy Tales,2014,20142018,TVY,1 mn,Anmaton, Adventure, Comedy,"['Antt Pääkkönen, ', 'Antt Pääkkönen, ', 'Douglas Black Heaton']",147,,
The Bg Famly Cookng Showdown,2017,20172018,,59 mn,RealtyTV,,,"['Angellca Bell, ', 'Tommy Banks, ', 'Zoë Ball, ', 'Nadya Hussan']",691,"Soe Hok Gie is an activist who lived in the sixties. Set in the darkest era of Indonesian modern history, ""Gie"" is an interpretation of what happened based on his journal.",7.6
Chco Bon Bon: Monkey wth a Tool Belt,2020,2020,,,Anmaton, Famly,,"['Robbe Daymond, ', 'Dayc Brookshre, ', 'Anthony Tedesco, ', 'Alyson Legh Rosenfeld']",129,"With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure.",5.4
Juhong geulsh,2004,2004,Not Rated,115 mn,Drama, Mystery, Thrller,"['Hyuk Byun', '| ', '    Stars:', 'Han Sukkyu, ', 'Eunju Lee, ', 'HyunAh Sung, ', 'Jwon Uhm']","1,119","After his father's passing, a teenager sets out for New York in search of his estranged mother and soon finds love and connection in unexpected places.",7
The Accountant of Auschwtz,2018,2018,,80 mn,Documentary,,,"['Matthew Shoychet', '| ', '    Stars:', 'Oskar Grönng, ', 'Jeff Ansell, ', 'Hedy Bohm, ', 'HansJürgen Brennecke']","2,875","1965, Malaysia. A small village helps Khalid and Siti prepare for their wedding day. Soon after, a great darkness falls upon the village as a string of horrific deaths and supernatural ...                See full summary »",5.3
Why Me?,2015,2015,,125 mn,Drama, Thrller,,"['Tudor Gurgu', '| ', '    Stars:', 'Emlan Oprea, ', 'Mha Constantn, ', 'Andreea Vasle, ', 'Dan Condurache']","2,525","An affluent woman is framed for the murder of her husband and faces a mountain of evidence stacked against her. Undeterred, she begins to put the pieces of the true story together.",4.5
"Samdang, Btu lg",2017,2017,,60 mn,Drama, Fantasy, Hstory,"['Lee Yeongae, ', 'JHyun Park, ', 'SeoJoon Lee, ', 'Jonghwan Cho']",453,"Eager to flaunt their success in front of old bullies and teenage crushes, two best friends spend a wild night at their middle school reunion.",5.3
The Trader,2018,2018,TVPG,23 mn,Documentary, Short,,['Tamta Gabrchdze'],"2,930",,
Kyûketsuk Sugu Shnu,2021,2021,TV14,24 mn,Anmaton, Comedy, Fantasy,"['an Snclar, ', 'Elle Drtch, ', 'Frank Todaro, ', 'Alcyn Packard']",222,"When a man inherits his grandfather's arena, he and his family try to restore the family wrestling business with the help of a talking monkey, and their star attraction, a wrestling dog.",4.2
Mlada,2017,2017,,124 mn,Bography, Drama, Hstory,"['Davd Mrnka', '| ', '    Stars:', 'Ayelet Zurer, ', 'Robert Gant, ', 'Danel Rchchev, ', 'Karna Rchchev']","1,358",,
,,,,,,,,,,"Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief, triggering a game of cat and mouse to gain the upper hand.",5.5
Seoul Searchng,2015,2015,TVMA,105 mn,Comedy, Drama, Musc,"['Benson Lee', '| ', '    Stars:', 'nPyo Cha, ', 'Justn Chon, ', 'Jesska Van, ', 'Teo Yoo']","1,759","Dan Cohen, founder of the nonprofit organization Music & Memory, fights against a broken healthcare system to demonstrate music's ability to combat memory loss and restore a deep sense of self to those suffering from it.",8.2
Bad Boy,2020,2020,,135 mn,Acton, Crme, Drama,"['Patryk Vega', '| ', '    Stars:', 'Anton Królkowsk, ', 'Macej Stuhr, ', 'Katarzyna Zawadzka, ', 'Andrzej Grabowsk']","1,082",Three men unwittingly become a prey of a ruthless don after their quickrich schemes goes awry.,7.4
Hellons,2015,2015,Not Rated,80 mn,Drama, Horror, Thrller,"['Bruce McDonald', '| ', '    Stars:', 'Chloe Rose, ', 'Rachel Wlson, ', 'Rossf Sutherland, ', 'Peter DaCunha']","3,329","Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos.",5.1
Escape the Undertaker,2021,2021,,31 mn,Short, Comedy, GameShow,"['Ben Smms', '| ', '    Stars:', 'Mark Calaway, ', 'Ettore Ewen, ', 'Kof Kngston, ', 'Austn Watson']",949,"Joel Kim Booster's first Netflix comedy special, talking about the cultural nuances of being Asian as he gets older and much more.",5.7
Mssng: The Other Sde,2020,2020,,70 mn,Drama, Fantasy, Mystery,"['Go Soo, ', 'Joonho Huh, ', 'Sohee, ', 'HaJoon Song']",311,"It tells the story of Saro, a man seeking for greener pasture, but unfolding events and his affair with the king's wife, he encounters his untimely death and with Akala, a mystical bird believed to give and take life.",
